2019-09-11 18:03:32:list index out of range 
2019-09-11 18:03:36:list index out of range 
2019-09-11 19:06:11:local variable 'positioning' referenced before assignment 
2019-09-11 19:06:42:local variable 'positioning' referenced before assignment 
2019-09-11 19:07:13:local variable 'positioning' referenced before assignment 
2019-09-11 19:07:43:local variable 'positioning' referenced before assignment 
2019-09-11 19:08:14:local variable 'positioning' referenced before assignment 
2019-09-11 19:08:44:local variable 'positioning' referenced before assignment 
2019-09-11 19:09:15:local variable 'positioning' referenced before assignment 
2019-09-11 19:09:46:local variable 'positioning' referenced before assignment 
2019-09-11 19:10:17:local variable 'positioning' referenced before assignment 
2019-09-11 19:10:47:local variable 'positioning' referenced before assignment 
2019-09-11 19:11:18:local variable 'positioning' referenced before assignment 
2019-09-11 19:11:49:local variable 'positioning' referenced before assignment 
2019-09-11 19:12:19:list index out of range 
2019-09-11 19:12:49:list index out of range 
2019-09-11 19:13:21:list index out of range 
2019-09-11 19:13:51:list index out of range 
2019-09-11 19:14:22:list index out of range 
2019-09-11 19:14:54:local variable 'positioning' referenced before assignment 
2019-09-11 19:15:25:local variable 'positioning' referenced before assignment 
2019-09-11 19:15:55:local variable 'positioning' referenced before assignment 
2019-09-11 19:16:27:local variable 'positioning' referenced before assignment 
2019-09-11 19:17:05:local variable 'positioning' referenced before assignment 
2019-09-11 19:17:29:local variable 'positioning' referenced before assignment 
2019-09-11 19:17:59:local variable 'positioning' referenced before assignment 
2019-09-11 19:18:30:local variable 'positioning' referenced before assignment 
2019-09-11 19:19:01:local variable 'positioning' referenced before assignment 
2019-09-11 19:19:32:local variable 'positioning' referenced before assignment 
2019-09-11 19:20:03:local variable 'positioning' referenced before assignment 
2019-09-11 19:20:33:local variable 'positioning' referenced before assignment 
2019-09-11 19:21:04:local variable 'positioning' referenced before assignment 
2019-09-11 19:21:35:local variable 'positioning' referenced before assignment 
2019-09-11 19:22:06:local variable 'positioning' referenced before assignment 
2019-09-11 19:22:40:local variable 'positioning' referenced before assignment 
2019-09-11 19:23:10:local variable 'positioning' referenced before assignment 
2019-09-11 19:23:40:local variable 'positioning' referenced before assignment 
2019-09-11 19:24:10:local variable 'positioning' referenced before assignment 
2019-09-11 19:24:40:local variable 'positioning' referenced before assignment 
2019-09-11 19:25:12:local variable 'positioning' referenced before assignment 
2019-09-11 19:25:44:local variable 'positioning' referenced before assignment 
2019-09-11 19:26:21:local variable 'positioning' referenced before assignment 
2019-09-11 19:26:44:local variable 'positioning' referenced before assignment 
2019-09-11 19:27:15:list index out of range 
2019-09-11 19:27:46:local variable 'positioning' referenced before assignment 
2019-09-11 19:28:17:local variable 'positioning' referenced before assignment 
2019-09-11 19:29:10:local variable 'positioning' referenced before assignment 
2019-09-11 19:29:18:local variable 'positioning' referenced before assignment 
2019-09-11 19:29:49:local variable 'positioning' referenced before assignment 
2019-09-11 19:30:20:local variable 'positioning' referenced before assignment 
2019-09-11 19:30:51:local variable 'positioning' referenced before assignment 
2019-09-11 19:31:26:local variable 'positioning' referenced before assignment 
2019-09-11 19:31:53:local variable 'positioning' referenced before assignment 
2019-09-11 19:32:24:local variable 'positioning' referenced before assignment 
2019-09-11 19:32:54:local variable 'positioning' referenced before assignment 
2019-09-11 19:33:26:local variable 'positioning' referenced before assignment 
2019-09-11 19:33:57:local variable 'positioning' referenced before assignment 
2019-09-11 19:34:28:local variable 'positioning' referenced before assignment 
2019-09-11 19:34:59:local variable 'positioning' referenced before assignment 
2019-09-11 19:35:30:local variable 'positioning' referenced before assignment 
2019-09-11 19:36:01:local variable 'positioning' referenced before assignment 
2019-09-11 19:36:32:local variable 'positioning' referenced before assignment 
2019-09-11 19:37:03:local variable 'positioning' referenced before assignment 
2019-09-11 19:37:33:local variable 'positioning' referenced before assignment 
2019-09-11 19:38:06:local variable 'positioning' referenced before assignment 
2019-09-11 19:38:36:local variable 'positioning' referenced before assignment 
2019-09-11 19:39:07:local variable 'positioning' referenced before assignment 
2019-09-11 19:39:38:list index out of range 
2019-09-11 19:40:09:local variable 'positioning' referenced before assignment 
2019-09-11 19:40:40:local variable 'positioning' referenced before assignment 
2019-09-11 19:41:11:local variable 'positioning' referenced before assignment 
2019-09-11 19:41:42:local variable 'positioning' referenced before assignment 
2019-09-11 19:42:13:local variable 'positioning' referenced before assignment 
2019-09-11 19:42:46:local variable 'positioning' referenced before assignment 
2019-09-11 19:43:15:local variable 'positioning' referenced before assignment 
2019-09-11 19:43:46:local variable 'positioning' referenced before assignment 
2019-09-11 19:44:17:local variable 'positioning' referenced before assignment 
2019-09-11 19:44:48:local variable 'positioning' referenced before assignment 
2019-09-11 19:45:19:local variable 'positioning' referenced before assignment 
2019-09-11 19:45:50:local variable 'positioning' referenced before assignment 
2019-09-11 19:46:21:local variable 'positioning' referenced before assignment 
2019-09-11 19:46:52:local variable 'positioning' referenced before assignment 
2019-09-11 19:47:23:local variable 'positioning' referenced before assignment 
2019-09-11 19:47:54:local variable 'positioning' referenced before assignment 
2019-09-11 19:48:25:local variable 'positioning' referenced before assignment 
2019-09-11 19:48:56:local variable 'positioning' referenced before assignment 
2019-09-11 19:49:27:local variable 'positioning' referenced before assignment 
2019-09-11 19:49:58:local variable 'positioning' referenced before assignment 
2019-09-11 19:50:29:local variable 'positioning' referenced before assignment 
2019-09-11 19:51:00:list index out of range 
2019-09-11 19:51:31:local variable 'positioning' referenced before assignment 
2019-09-11 19:52:02:local variable 'positioning' referenced before assignment 
2019-09-11 19:52:33:local variable 'positioning' referenced before assignment 
2019-09-11 19:53:04:local variable 'positioning' referenced before assignment 
2019-09-11 19:53:35:local variable 'positioning' referenced before assignment 
2019-09-11 19:54:06:local variable 'positioning' referenced before assignment 
2019-09-11 19:54:37:local variable 'positioning' referenced before assignment 
2019-09-11 19:55:08:local variable 'positioning' referenced before assignment 
2019-09-11 19:55:39:local variable 'positioning' referenced before assignment 
2019-09-11 19:56:10:local variable 'positioning' referenced before assignment 
2019-09-11 19:56:41:local variable 'positioning' referenced before assignment 
2019-09-11 19:57:12:local variable 'positioning' referenced before assignment 
2019-09-11 19:57:43:local variable 'positioning' referenced before assignment 
2019-09-11 19:58:14:local variable 'positioning' referenced before assignment 
2019-09-11 19:58:45:local variable 'positioning' referenced before assignment 
2019-09-11 19:59:17:list index out of range 
2019-09-11 19:59:48:local variable 'positioning' referenced before assignment 
2019-09-11 20:00:19:local variable 'positioning' referenced before assignment 
2019-09-11 20:00:50:local variable 'positioning' referenced before assignment 
2019-09-11 20:01:20:local variable 'positioning' referenced before assignment 
2019-09-11 20:01:51:local variable 'positioning' referenced before assignment 
2019-09-11 20:02:22:local variable 'positioning' referenced before assignment 
2019-09-11 20:02:53:local variable 'positioning' referenced before assignment 
2019-09-11 20:03:24:local variable 'positioning' referenced before assignment 
2019-09-11 20:03:55:local variable 'positioning' referenced before assignment 
2019-09-11 20:04:26:local variable 'positioning' referenced before assignment 
2019-09-11 20:04:57:local variable 'positioning' referenced before assignment 
2019-09-11 20:05:28:local variable 'positioning' referenced before assignment 
2019-09-11 20:05:59:local variable 'positioning' referenced before assignment 
2019-09-11 20:06:30:local variable 'positioning' referenced before assignment 
2019-09-11 20:07:01:local variable 'positioning' referenced before assignment 
2019-09-11 20:07:32:local variable 'positioning' referenced before assignment 
2019-09-11 20:08:03:local variable 'positioning' referenced before assignment 
2019-09-11 20:08:34:local variable 'positioning' referenced before assignment 
2019-09-11 20:09:05:local variable 'positioning' referenced before assignment 
2019-09-11 20:09:36:local variable 'positioning' referenced before assignment 
2019-09-11 20:10:07:local variable 'positioning' referenced before assignment 
2019-09-11 20:10:38:local variable 'positioning' referenced before assignment 
2019-09-11 20:11:09:local variable 'positioning' referenced before assignment 
2019-09-11 20:11:40:local variable 'positioning' referenced before assignment 
2019-09-11 20:12:11:local variable 'positioning' referenced before assignment 
2019-09-11 20:12:43:local variable 'positioning' referenced before assignment 
2019-09-11 20:13:14:local variable 'positioning' referenced before assignment 
2019-09-11 20:13:45:local variable 'positioning' referenced before assignment 
2019-09-11 20:14:16:local variable 'positioning' referenced before assignment 
2019-09-11 20:14:47:local variable 'positioning' referenced before assignment 
2019-09-11 20:15:18:local variable 'positioning' referenced before assignment 
2019-09-11 20:15:49:local variable 'positioning' referenced before assignment 
2019-09-11 20:16:20:list index out of range 
2019-09-11 20:16:51:local variable 'positioning' referenced before assignment 
2019-09-11 20:17:22:local variable 'positioning' referenced before assignment 
2019-09-11 20:17:52:local variable 'positioning' referenced before assignment 
2019-09-11 20:18:23:local variable 'positioning' referenced before assignment 
2019-09-11 20:18:55:local variable 'positioning' referenced before assignment 
2019-09-11 20:19:25:local variable 'positioning' referenced before assignment 
2019-09-11 20:19:57:local variable 'positioning' referenced before assignment 
2019-09-11 20:20:28:local variable 'positioning' referenced before assignment 
2019-09-11 20:20:59:local variable 'positioning' referenced before assignment 
2019-09-11 20:21:30:local variable 'positioning' referenced before assignment 
2019-09-11 20:22:00:local variable 'positioning' referenced before assignment 
2019-09-11 20:22:31:list index out of range 
2019-09-11 20:23:02:local variable 'positioning' referenced before assignment 
2019-09-11 20:23:34:list index out of range 
2019-09-11 20:24:05:local variable 'positioning' referenced before assignment 
2019-09-11 20:24:36:local variable 'positioning' referenced before assignment 
2019-09-11 20:25:06:local variable 'positioning' referenced before assignment 
2019-09-11 20:25:38:local variable 'positioning' referenced before assignment 
2019-09-11 20:26:08:local variable 'positioning' referenced before assignment 
2019-09-11 20:26:39:local variable 'positioning' referenced before assignment 
2019-09-11 20:27:11:local variable 'positioning' referenced before assignment 
2019-09-11 20:27:42:local variable 'positioning' referenced before assignment 
2019-09-11 20:28:13:local variable 'positioning' referenced before assignment 
2019-09-11 20:28:44:local variable 'positioning' referenced before assignment 
2019-09-11 20:29:15:local variable 'positioning' referenced before assignment 
2019-09-11 20:32:57:local variable 'positioning' referenced before assignment 
2019-09-11 20:33:36:local variable 'positioning' referenced before assignment 
2019-09-11 20:33:54:local variable 'positioning' referenced before assignment 
2019-09-11 20:34:24:local variable 'positioning' referenced before assignment 
2019-09-11 20:34:55:local variable 'positioning' referenced before assignment 
2019-09-11 20:35:26:local variable 'positioning' referenced before assignment 
2019-09-11 20:35:57:local variable 'positioning' referenced before assignment 
2019-09-11 20:36:28:local variable 'positioning' referenced before assignment 
2019-09-11 20:36:59:local variable 'positioning' referenced before assignment 
2019-09-11 20:37:30:local variable 'positioning' referenced before assignment 
2019-09-11 20:38:01:local variable 'positioning' referenced before assignment 
2019-09-11 20:38:32:local variable 'positioning' referenced before assignment 
2019-09-11 20:39:03:list index out of range 
2019-09-11 20:39:35:local variable 'positioning' referenced before assignment 
2019-09-11 20:40:06:list index out of range 
2019-09-11 20:40:37:local variable 'positioning' referenced before assignment 
2019-09-11 20:41:07:local variable 'positioning' referenced before assignment 
2019-09-11 20:41:38:local variable 'positioning' referenced before assignment 
2019-09-11 20:42:09:local variable 'positioning' referenced before assignment 
2019-09-11 20:42:40:local variable 'positioning' referenced before assignment 
2019-09-11 20:43:11:local variable 'positioning' referenced before assignment 
2019-09-11 20:43:42:list index out of range 
2019-09-11 20:44:13:local variable 'positioning' referenced before assignment 
2019-09-11 20:44:44:local variable 'positioning' referenced before assignment 
2019-09-11 20:45:15:local variable 'positioning' referenced before assignment 
2019-09-11 20:45:46:local variable 'positioning' referenced before assignment 
2019-09-11 20:46:17:local variable 'positioning' referenced before assignment 
2019-09-11 20:46:48:local variable 'positioning' referenced before assignment 
2019-09-11 20:47:19:local variable 'positioning' referenced before assignment 
2019-09-11 20:47:50:list index out of range 
2019-09-11 20:48:21:local variable 'positioning' referenced before assignment 
2019-09-11 20:48:52:local variable 'positioning' referenced before assignment 
2019-09-11 20:49:23:local variable 'positioning' referenced before assignment 
2019-09-11 20:49:54:local variable 'positioning' referenced before assignment 
2019-09-11 20:50:25:local variable 'positioning' referenced before assignment 
2019-09-11 20:50:56:local variable 'positioning' referenced before assignment 
2019-09-11 20:51:27:local variable 'positioning' referenced before assignment 
2019-09-11 20:51:58:local variable 'positioning' referenced before assignment 
2019-09-11 20:52:28:local variable 'positioning' referenced before assignment 
2019-09-11 20:52:59:local variable 'positioning' referenced before assignment 
2019-09-11 20:53:30:local variable 'positioning' referenced before assignment 
2019-09-11 20:54:01:list index out of range 
2019-09-11 20:54:32:local variable 'positioning' referenced before assignment 
2019-09-11 20:55:03:local variable 'positioning' referenced before assignment 
2019-09-11 20:55:34:local variable 'positioning' referenced before assignment 
2019-09-11 20:56:04:local variable 'positioning' referenced before assignment 
2019-09-11 20:56:36:list index out of range 
2019-09-11 20:57:06:local variable 'positioning' referenced before assignment 
2019-09-11 20:57:38:list index out of range 
2019-09-11 20:58:09:local variable 'positioning' referenced before assignment 
2019-09-11 20:58:40:local variable 'positioning' referenced before assignment 
2019-09-11 20:59:11:local variable 'positioning' referenced before assignment 
2019-09-11 20:59:41:list index out of range 
2019-09-11 21:00:13:local variable 'positioning' referenced before assignment 
2019-09-11 21:00:44:local variable 'positioning' referenced before assignment 
2019-09-11 21:01:15:local variable 'positioning' referenced before assignment 
2019-09-11 21:01:46:local variable 'positioning' referenced before assignment 
2019-09-11 21:02:21:list index out of range 
2019-09-11 21:02:48:local variable 'positioning' referenced before assignment 
2019-09-11 21:03:19:local variable 'positioning' referenced before assignment 
2019-09-11 21:03:50:local variable 'positioning' referenced before assignment 
2019-09-11 21:04:21:local variable 'positioning' referenced before assignment 
2019-09-11 21:04:52:local variable 'positioning' referenced before assignment 
2019-09-11 21:05:23:local variable 'positioning' referenced before assignment 
2019-09-11 21:05:54:local variable 'positioning' referenced before assignment 
2019-09-11 21:06:25:local variable 'positioning' referenced before assignment 
2019-09-11 21:06:56:local variable 'positioning' referenced before assignment 
2019-09-11 21:07:27:list index out of range 
2019-09-11 21:07:59:local variable 'positioning' referenced before assignment 
2019-09-11 21:08:30:local variable 'positioning' referenced before assignment 
2019-09-11 21:09:01:local variable 'positioning' referenced before assignment 
2019-09-11 21:09:32:list index out of range 
2019-09-11 21:10:03:local variable 'positioning' referenced before assignment 
2019-09-11 21:10:34:local variable 'positioning' referenced before assignment 
2019-09-11 21:11:04:local variable 'positioning' referenced before assignment 
2019-09-11 21:11:35:local variable 'positioning' referenced before assignment 
2019-09-11 21:12:06:local variable 'positioning' referenced before assignment 
2019-09-11 21:12:37:local variable 'positioning' referenced before assignment 
2019-09-11 21:13:08:local variable 'positioning' referenced before assignment 
2019-09-11 21:13:39:local variable 'positioning' referenced before assignment 
2019-09-11 21:14:10:local variable 'positioning' referenced before assignment 
2019-09-11 21:14:42:local variable 'positioning' referenced before assignment 
2019-09-11 21:15:35:local variable 'positioning' referenced before assignment 
2019-09-11 21:15:43:local variable 'positioning' referenced before assignment 
2019-09-11 21:16:14:local variable 'positioning' referenced before assignment 
2019-09-11 21:16:45:local variable 'positioning' referenced before assignment 
2019-09-11 21:17:16:local variable 'positioning' referenced before assignment 
2019-09-11 21:17:47:list index out of range 
2019-09-11 21:18:19:local variable 'positioning' referenced before assignment 
2019-09-11 21:18:49:local variable 'positioning' referenced before assignment 
2019-09-11 21:19:20:local variable 'positioning' referenced before assignment 
2019-09-11 21:19:51:local variable 'positioning' referenced before assignment 
2019-09-11 21:20:22:local variable 'positioning' referenced before assignment 
2019-09-11 21:20:53:local variable 'positioning' referenced before assignment 
2019-09-11 21:21:24:local variable 'positioning' referenced before assignment 
2019-09-11 21:21:55:local variable 'positioning' referenced before assignment 
2019-09-11 21:22:26:local variable 'positioning' referenced before assignment 
2019-09-11 21:22:57:local variable 'positioning' referenced before assignment 
2019-09-11 21:23:28:local variable 'positioning' referenced before assignment 
2019-09-11 21:23:59:local variable 'positioning' referenced before assignment 
2019-09-11 21:24:31:local variable 'positioning' referenced before assignment 
2019-09-11 21:25:01:local variable 'positioning' referenced before assignment 
2019-09-11 21:25:32:local variable 'positioning' referenced before assignment 
2019-09-11 21:26:03:local variable 'positioning' referenced before assignment 
2019-09-11 21:26:34:local variable 'positioning' referenced before assignment 
2019-09-11 21:27:06:local variable 'positioning' referenced before assignment 
2019-09-11 21:27:36:local variable 'positioning' referenced before assignment 
2019-09-11 21:28:07:local variable 'positioning' referenced before assignment 
2019-09-11 21:28:39:local variable 'positioning' referenced before assignment 
2019-09-11 21:29:10:local variable 'positioning' referenced before assignment 
2019-09-11 21:29:41:local variable 'positioning' referenced before assignment 
2019-09-11 21:30:12:local variable 'positioning' referenced before assignment 
2019-09-11 21:30:43:local variable 'positioning' referenced before assignment 
2019-09-11 21:31:14:local variable 'positioning' referenced before assignment 
2019-09-11 21:31:45:list index out of range 
2019-09-11 21:32:16:local variable 'positioning' referenced before assignment 
2019-09-11 21:32:47:local variable 'positioning' referenced before assignment 
2019-09-11 21:33:18:local variable 'positioning' referenced before assignment 
2019-09-11 21:33:49:local variable 'positioning' referenced before assignment 
2019-09-11 21:34:19:local variable 'positioning' referenced before assignment 
2019-09-11 21:34:51:local variable 'positioning' referenced before assignment 
2019-09-11 21:35:21:list index out of range 
2019-09-11 21:35:53:local variable 'positioning' referenced before assignment 
2019-09-11 21:36:24:local variable 'positioning' referenced before assignment 
2019-09-11 21:36:55:local variable 'positioning' referenced before assignment 
2019-09-11 21:37:26:local variable 'positioning' referenced before assignment 
2019-09-11 21:37:57:list index out of range 
2019-09-11 21:38:28:local variable 'positioning' referenced before assignment 
2019-09-11 21:38:59:local variable 'positioning' referenced before assignment 
2019-09-11 21:39:30:local variable 'positioning' referenced before assignment 
2019-09-11 21:40:01:list index out of range 
2019-09-11 21:40:32:local variable 'positioning' referenced before assignment 
2019-09-11 21:41:03:local variable 'positioning' referenced before assignment 
2019-09-11 21:41:34:list index out of range 
2019-09-11 21:42:06:local variable 'positioning' referenced before assignment 
2019-09-11 21:42:36:local variable 'positioning' referenced before assignment 
2019-09-11 21:43:09:local variable 'positioning' referenced before assignment 
2019-09-11 21:43:39:list index out of range 
2019-09-11 21:44:10:local variable 'positioning' referenced before assignment 
2019-09-11 21:44:41:local variable 'positioning' referenced before assignment 
2019-09-11 21:45:12:list index out of range 
2019-09-11 21:45:43:list index out of range 
2019-09-11 21:46:14:local variable 'positioning' referenced before assignment 
